"oeid","blog","name","desc","date"
"14544","http://mshl.hypotheses.org/","Bloc-notes lorrain","La recherche interdisciplinaire en train de se faire à la Maison des sciences de l’Homme Lorraine","2015-06-19"
"14540","http://dire.hypotheses.org/","Cahiers de l'événement","","2015-06-18"
"14538","http://imaval.hypotheses.org/","Imaginaire du cheval","De l'Antiquité à nos jours","2015-06-18"
"14534","http://sdc.hypotheses.org/","Sociologues dans la Cité","Forum de l'AISLF (Association internationale des sociologues de langue française)","2015-06-18"
"14530","http://paradojas.hypotheses.org/","Paradojas de la ciudadanía","Grupo de investigación en historia cultural y comparada de la política","2015-06-17"
"14525","http://archivlinz.hypotheses.org/","Stadtarchiv Linz am Rhein","Linzer Stadtgeschichte im Web 2.0","2015-06-05"
"14509","http://archivekod.hypotheses.org/","Forum Archive KOD","Forum für Archive katholischer Organisationen Deutschlands","2015-06-05"
"14514","http://fortifica.hypotheses.org/","Deutsche Festungsforschung","Forschung, Berichte, Tagungen","2015-06-05"
"14519","http://grk1678.hypotheses.org/","Materialität & Produktion","GRK 1678 an der Heinrich-Heine-Universität Düsseldorf","2015-06-05"
"14526","http://maxweber.hypotheses.org/","Max Weber in der Welt","Blog zum Schwerpunktthema der Stiftung Deutsche Geisteswissenschaftliche Institute im Ausland","2015-06-05"
"14494","http://dighist.hypotheses.org/","Zu einer gemeinsamen Identität","Quellen zur Geschichte Mitteleuropas im digitalen Zeitalter","2015-06-01"
"14492","http://cirit.hypotheses.org/","CIRIT","La circoncision rituelle, enjeux de droit, enjeux de vérité","2015-06-01"
"14497","http://grham.hypotheses.org/","GRHAM","Groupe de recherche en histoire de l'art moderne","2015-06-01"
"14485","http://iguana.hypotheses.org/","IguAnalista","El blog de América Latina Portal Europeo","2015-06-01"
"14501","http://nycthemere.hypotheses.org/","Nycthémères","Mesures du rap","2015-06-01"
"14489","http://sociabilidad.hypotheses.org/","Sociabilidad y elites","Historia del siglo XIX","2015-06-01"
"14469","http://archeoenv.hypotheses.org/","ArchéoEnv","Recherche et enseignement en archéologies environnementales à Paris","2015-05-15"
"14464","http://eured.hypotheses.org/","Reading in Europe","ANR – Le Mans","2015-05-15"
"14467","http://iconology.hypotheses.org/","Bilderfahrzeuge","Warburg's legacy and the future of Iconology","2015-05-15"
"14477","http://photogenic.hypotheses.org/","Photogenic","Carnet de recherches visuelles par Marie-Eve Bouillon","2015-05-15"
"14472","http://morelli.hypotheses.org/","Atelier Morelli","Traduction française et étude des Ricordi de Giovanni di P. Morelli","2015-05-15"
"14454","http://clinoeil.hypotheses.org/","Le clin de l'oeil","Carnet de recherche d'Audrey Leblanc","2015-05-13"
"14461","http://desorient.hypotheses.org/","Désert oriental","Carnets de la mission archéologique française du désert oriental","2015-05-13"
"14451","http://ecdotique.hypotheses.org/","Ecdotique","","2015-05-13"
"14456","http://odit.hypotheses.org/","ODIT","Observatoire des dynamiques industrielles et territoriales","2015-05-13"
"14446","http://unhiv.hypotheses.org/","« Au top ! »","Carnet du pôle formation du LabEx Innovation et territoires de montagne","2015-05-13"
"14439","http://bioeg.hypotheses.org/","BIÖG","Blog des Instituts für Österreichische Geschichtsforschung","2015-05-12"
"14437","http://classnum.hypotheses.org/","Classiques et numériques","Les humanités numériques dans un Master d’antiquisants","2015-05-12"
"14434","http://ostbib.hypotheses.org/","OstBib","Quellen für Osteuropastudien","2015-05-12"
"14442","http://rjcfoncier.hypotheses.org/","Ateliers du foncier","Réseau des jeunes chercheurs du foncier","2015-05-12"
"14429","http://iris.hypotheses.org/","Les carnets de l'Iris","Institut de recherche interdisciplinaire sur les enjeux sociaux","2015-05-11"
"14431","http://karnak.hypotheses.org/","Karnak","Projet d'index global des inscriptions des temples de Karnak","2015-05-11"
"14427","http://mai.hypotheses.org/","Monde de l’aide internationale","Atelier sur les sciences sociales du développement et de l’humanitaire","2015-05-11"
"14406","http://cfee.hypotheses.org/","Un œil sur la corne / An eye on the horn","Le blog scientifique du Centre français des études éthiopiennes (Addis-Abeba) / The scientific blog of the French Centre for Ethiopian Studies (Addis Ababa)","2015-05-05"
"14410","http://grhed.hypotheses.org/","GRHED","Le carnet du groupe de recherche en histoire et esthétique du cinéma documentaire","2015-05-05"
"14413","http://histgymbib.hypotheses.org/","bibliotheca.gym","Gymnasialbibliotheken und -archive","2015-05-05"
"14417","http://mathesis.hypotheses.org/","Mathesis","Une composante de la République des savoirs (USR 3608)","2015-05-05"
"14419","http://moneta.hypotheses.org/","Moneta","Numismatique du monde romain","2015-05-05"
"14392","http://acrobates.hypotheses.org/","Acrobates japonais en France","Traverser les frontières, les identités et les genres","2015-04-30"
"14396","http://bildungsblog.hypotheses.org/","Bildungsblog","Recherches à Berlin sur les spécificités sociales, politiques et nationales de l'antisémitisme en Belgique (1914-1930)","2015-04-30"
"14386","http://iao.hypotheses.org/","Blog de l'Institut d'Asie orientale (IAO)","","2015-04-30"
"14389","http://methode.hypotheses.org/","Question de méthode","","2015-04-30"
"14383","http://mgtud.hypotheses.org/","Macht Geschichte!","Geschichte studieren in Darmstadt","2015-04-30"
"14375","http://camera.hypotheses.org/","Camera Picta","Explorations in Medieval Art","2015-04-29"
"14379","http://dcdigital.hypotheses.org/","Discurso e cultura digital","Discours et culture numérique","2015-04-29"
"14356","http://cinemadoc.hypotheses.org/","Cinémadoc","Images animées, archives visuelles et intermédialité","2015-04-29"
"14354","http://edelfrauen.hypotheses.org/","Weiberregiment","Adelige Frauen in der Frühen Neuzeit: Lebensalltag, Handlungsfelder, Netzwerke","2015-04-29"
"14371","http://imaj.hypotheses.org/","Imaj","Carnets de recherches en analyse juridique de l’image","2015-04-29"
"14361","http://jazz.hypotheses.org/","All That Jazz!","","2015-04-29"
"14368","http://kwd.hypotheses.org/","Kalila wa Dimna","Manuscrits à peinture dans le monde musulman au département des manuscrits de la BnF et dans les collections mondiales","2015-04-29"
"14363","http://lagemoyen.hypotheses.org/","L'âge moyen","Le Moyen Âge et ses mises en scènes contemporaines - carnet de Patrick Fraysse","2015-04-29"
"14350","http://dixit.hypotheses.org/","DiXiT","Digital Scholarly Editons Initial Training Network","2015-04-27"
"14335","http://dsf.hypotheses.org/","Droits sociaux fondamentaux","Un carnet de veille jurisprudentielle réalisé par les étudiants de M2 droit social de Lille 2","2015-04-27"
"14341","http://humanum.hypotheses.org/","Huma-num","Le carnet de la très grande infrastructure (TGIR) pour les humanités numériques","2015-04-27"
"14345","http://openjlem.hypotheses.org/","Open Jerusalem Archives","For a connected history of ‘citadinité’ in the Holy City (1840-1940)","2015-04-27"
"14348","http://merapmed.hypotheses.org/","Merap-Med","Religious memories and heritage practices in the Mediterranean. Confessional coexistence and heritage assertion","2015-04-27"
"14342","http://tagebuch.hypotheses.org/","Kriegstagebuch","von Fridolin Mayer, freiwilliger Feldgeistlicher bei der 28. Infanterie-Division","2015-04-27"
"14340","http://tempresent.hypotheses.org/","À la recherche du temps présent","Carnet d'Henry Rousso","2015-04-27"
"14332","http://crisalide.hypotheses.org/","CRISALIDE","Collectif de recherche interdisciplinaire sur l'absence et les liens diasporiques dans l'espace euro-méditerranéen","2015-04-24"
"14328","http://sociologia.hypotheses.org/","Para que serve a sociologia ?","Disponibilidade da sociologia para integrar a ciência","2015-04-24"
"14323","http://biograf.hypotheses.org/","BiogrAfrique","","2015-04-23"
"14312","http://ihtp.hypotheses.org/","Carnet de l'IHTP","Carnet de l'Institut d'histoire du temps présent (CNRS)","2015-04-23"
"14319","http://siafdroit.hypotheses.org/","Droit(s) des archives","Enjeux juridiques de l'accès aux archives publiques et de leur valorisation","2015-04-23"
"14315","http://siaf.hypotheses.org/","Modernisation et archives","Réflexions sur la gestion et la collecte des archives contemporaines","2015-04-23"
"14298","http://cadderep.hypotheses.org/","CaddE-Réputation","La réputation est-elle soluble dans le numérique ?","2015-04-22"
"14303","http://cehistoire.hypotheses.org/","Com'en histoire","L’histoire, une question de communication","2015-04-22"
"14291","http://glycines.hypotheses.org/","Le carnet des Glycines","Études algériennes","2015-04-22"
"14306","http://plurigenre.hypotheses.org/","PluriGenre","Action structurante pluridisciplinaire en études de genre","2015-04-22"
"14294","http://socioradio.hypotheses.org/","SocioRadio","La sociologie autrement","2015-04-22"
"14236","http://ariadna.hypotheses.org/","El hilo de Ariadna","Arte y poder en la Edad Moderna","2015-03-25"
"14226","http://beruf.hypotheses.org/","beruf:geschichte","Blog zur Praxis- und Berufsorientierung für Historikerinnen und Historiker","2015-03-25"
"14205","http://dejavu.hypotheses.org/","Déjà vu","Carnet de recherche visuelle de Patrick Peccatte","2015-03-25"
"14199","http://cfhe.hypotheses.org/","Fantaterror","Le cinéma fantastico-horrifique espagnol sous le tardofranquisme (1968-1975)","2015-03-25"
"14233","http://corpus.hypotheses.org/","Canon y corpus","Sobre el concepto de « clásicos » en la literatura","2015-03-25"
"14222","http://cvcedhlab.hypotheses.org/","Digital Humanities LAB at CVCE","","2015-03-25"
"14218","http://lxnights.hypotheses.org/","lxnights","Exploring Nightlife and Urban Transformation in Contemporary Lisbon","2015-03-25"
"14230","http://moraleconomy.hypotheses.org/","Moral Economy","Moral und Kapitalismus in Frankreich 1850-1920","2015-03-25"
"14214","http://shsebola.hypotheses.org/","Réseau SHS Ebola","SHS Ebola network","2015-03-25"
"14210","http://web90.hypotheses.org/","WEB90","Patrimoine, mémoires et histoire du web dans les années 1990","2015-03-25"
"14190","http://arachne.hypotheses.org/","ARACHNE","Méthode critique de l’histoire de la tapisserie : préceptes, circulation de modèles, transferts de savoir-faire (France, XIVe-Xe siècles)","2015-03-20"
"14196","http://cosmos.hypotheses.org/","Carnet Cosmos","","2015-03-20"
